taste,feature,coefficient
sweet,sweet_hs_mid,7.89
sweet,sugar_frac,3.61
sweet,salt_frac,-1.66
sour,sour_voigt,34.89
sour,sour_hs_mid,-27.18
sour,water_frac,1.88
sour,fermented_frac,1.88
sour,conc_factor,-1.81
sour,protein_frac,-1.73
sour,sugar_frac,-1.1
sour,salt_frac,-1.01
sour,allium_frac,0.98
sour,maillard_potential,-0.52
bitter,maillard_potential,0.65
bitter,bitter_voigt,0.32
bitter,allium_frac,-0.27
bitter,water_frac,0.13
bitter,salt_frac,-0.08
bitter,protein_frac,-0.05
bitter,sugar_frac,0.03
umami,umami_voigt,5.62
umami,conc_factor,4.76
umami,allium_frac,3.49
umami,fermented_frac,0.74
umami,maillard_potential,-0.62
umami,protein_frac,0.16
umami,sugar_frac,-0.13
salty,conc_factor,6.7
salty,salt_frac,4.85
salty,water_frac,-4.28
salty,allium_frac,3.69
salty,salty_voigt,3.45
salty,fermented_frac,2.32
salty,maillard_potential,-1.38
salty,sugar_frac,-1.17
salty,protein_frac,0.86
