level,taste_a,taste_b,pearson_r,p_value
ingredient,sweet,bitter,-0.1480,0.1145
ingredient,sweet,salty,-0.1546,0.09897
ingredient,sweet,umami,-0.1516,0.1057
ingredient,sweet,sour,-0.0919,0.3284
ingredient,bitter,salty,-0.1485,0.1133
ingredient,bitter,umami,0.0691,0.4634
ingredient,bitter,sour,-0.0716,0.447
ingredient,salty,umami,0.5108,5.481e-09
ingredient,salty,sour,0.0143,0.8798
ingredient,umami,sour,-0.0650,0.4902
recipe_measured,sweet,bitter,0.3627,0.002033
recipe_measured,sweet,salty,-0.5327,2.07e-06
recipe_measured,sweet,umami,-0.4340,0.0001743
recipe_measured,sweet,sour,-0.0172,0.8879
recipe_measured,bitter,salty,-0.3783,0.001244
recipe_measured,bitter,umami,-0.3768,0.001306
recipe_measured,bitter,sour,-0.0409,0.737
recipe_measured,salty,umami,0.7311,6.68e-13
recipe_measured,salty,sour,0.0425,0.7267
recipe_measured,umami,sour,-0.0341,0.7796
additive_residual,sweet,bitter,-0.0065,0.9576
additive_residual,sweet,salty,-0.2562,0.03227
additive_residual,sweet,umami,-0.0663,0.5857
additive_residual,sweet,sour,-0.0984,0.4175
additive_residual,bitter,salty,-0.2205,0.06658
additive_residual,bitter,umami,-0.2867,0.0161
additive_residual,bitter,sour,0.1889,0.1172
additive_residual,salty,umami,0.6160,1.38e-08
additive_residual,salty,sour,0.1443,0.2333
additive_residual,umami,sour,-0.0208,0.8644
