target,Metric,HS,Lasso,RV
sweet,MAE,9.9,6.252192082130457,8.714285714285714
bitter,MAE,0.8428571428571429,0.7669181708686973,0.8857142857142857
salty,MAE,22.057142857142857,5.733000778228899,21.442857142857143
umami,MAE,11.142857142857142,5.989196010735379,10.857142857142858
sour,MAE,7.1571428571428575,8.70299744675674,6.714285714285714
overall,MAE,10.22,5.4888608977440345,9.722857142857142
sweet,Median_AE,6.0,4.314584404691834,5.0
bitter,Median_AE,0.0,0.5672245139919927,1.0
salty,Median_AE,22.5,4.292005063550715,22.0
umami,Median_AE,10.0,4.1266109630630545,9.5
sour,Median_AE,3.5,6.496135690839653,3.5
overall,Median_AE,5.0,3.574129433835651,4.5
sweet,MSE,233.47142857142856,84.29015189356265,188.11428571428573
bitter,MSE,2.157142857142857,1.203731781640872,2.085714285714286
salty,MSE,661.0,71.31749191842486,629.2142857142857
umami,MSE,211.65714285714284,62.349395171216486,202.22857142857143
sour,MSE,144.92857142857142,125.27664597404156,121.14285714285714
overall,MSE,250.64285714285714,68.88748334777729,228.55714285714285
sweet,RMSE,15.279771875634419,9.180966827821711,13.715476138810702
bitter,RMSE,1.468721504282843,1.0971471103005612,1.4442002235542986
salty,RMSE,25.709920264364882,8.444968437976833,25.084144109661896
umami,RMSE,14.548441251802299,7.896163319689917,14.220709244920643
sour,RMSE,12.038628303447673,11.19270503381741,11.006491591004698
overall,RMSE,15.831704176836338,8.299848393059797,15.118106457395479
sweet,R2,0.24405757799222383,0.7270822303024159,0.39091661182167314
bitter,R2,-0.13412017167381962,0.3671367242446061,-0.09656652360515006
salty,R2,-2.107749848637643,0.5732703837752813,-1.9583065070941208
umami,R2,-0.7932827975432968,0.4717395487416297,-0.7133984396613735
sour,R2,0.13281704106404102,0.411000790372679,0.27513933052962714
overall,R2,-0.01986063894802581,0.7196982448115705,0.07000567896668775
sweet,ExplainedVar,0.5559266953710825,0.7270822322021433,0.6256373252559211
bitter,ExplainedVar,-0.10311158798283238,0.3671367266642902,-0.05364806866952754
salty,ExplainedVar,0.161912145545821,0.5732703852245725,0.18048341922527422
umami,ExplainedVar,0.23189979527471904,0.47173955230811493,0.2540391744591378
sour,ExplainedVar,0.37899735748233054,0.4110007981616952,0.4589725930376256
overall,ExplainedVar,0.3780198180226161,0.7196982465433227,0.4197726626295525
sweet,Pearson_r,0.805256550629095,0.8538640080436906,0.8195676752507802
bitter,Pearson_r,0.26376902480771014,0.6059226592494896,0.3263636383958984
salty,Pearson_r,0.40681864944603036,0.7572679591923334,0.42835271195321034
umami,Pearson_r,0.5367598028642041,0.6872433252041439,0.5561371670047172
sour,Pearson_r,0.6513304693538684,0.6440301309910548,0.7045365466126948
overall,Pearson_r,0.6713291938922138,0.8486358703519618,0.6858544463836336
sweet,Spearman_rho,0.6865606823217595,0.7350872041729491,0.7340733050730944
bitter,Spearman_rho,0.17697315820262238,0.4867625681001723,0.16284908167351955
salty,Spearman_rho,0.484617744141412,0.7313470589280912,0.5071479525574975
umami,Spearman_rho,0.6014698593827935,0.720211295074063,0.6234546622870006
sour,Spearman_rho,0.7015545332020371,0.6568126608631478,0.7074193801269253
overall,Spearman_rho,0.7606259699084469,0.8823756855023108,0.7778578256629446
sweet,Bias,-9.814285714285715,-0.0007659812754882113,-8.514285714285714
bitter,Bias,-0.24285714285714285,-6.78405316456703e-05,-0.2857142857142857
salty,Bias,-21.97142857142857,-0.0004921522204839641,-21.32857142857143
umami,Bias,-11.0,-0.0006488021753742602,-10.685714285714285
sour,Bias,-6.414285714285715,-0.0012871199049264196,-5.542857142857143
overall,Bias,-9.888571428571428,-0.0006523792215837838,-9.271428571428572
sweet,Std_Error,11.795716315486954,9.247256225637233,10.830369080042376
bitter,Std_Error,1.4589624493356326,1.1050688508466595,1.4258773769142488
salty,Std_Error,13.447667141656764,8.505943716725273,13.29783836478634
umami,Std_Error,9.590151953579966,7.953176042748133,9.450930261923162
sour,Std_Error,10.26107440929683,11.273519763507547,9.577579062786887
overall,Std_Error,12.381316718507572,8.311730762005261,11.95852602364552
sweet,MAPE_%,50.14835223478676,50.46319271839407,45.85405595887095
bitter,MAPE_%,857142895.1785713,806834025.8952181,857142899.0476189
salty,MAPE_%,70.07074240966165,91.19188091477344,67.8733621137672
umami,MAPE_%,285714354.34751666,1645835753.4138014,285714354.2363278
sour,MAPE_%,52.54433261619672,80.70821325475906,53.51392540961357
overall,MAPE_%,228571484.45790303,490534000.3344612,228571484.10505807
sweet,sMAPE_%,73.06537740248005,39.78335856384572,64.16520556781971
bitter,sMAPE_%,51.727272727272734,52.88525178044205,61.57142857142859
salty,sMAPE_%,115.1432399172891,57.172695836313835,109.73297828819926
umami,sMAPE_%,117.48412459914492,55.19877559770633,115.14381305408692
sour,sMAPE_%,74.31680203648953,36.620119949408334,71.00819247581241
overall,sMAPE_%,86.34736333653528,48.33204034554326,84.32432359146937
